"plant_ID","binomial_acc_name","author_acc_name","is_hybrid","AnimalFood","EnvironmentalUses","Fuels","GeneSources","HumanFood","InvertebrateFood","Materials","Medicines","Poisons","SocialUses","Totals"
232,"Acalypha herzogiana","Pax & K.Hoffm.",FALSE,0,1,0,0,0,0,0,0,0,0,1
233,"Acalypha hispida","Burm.f.",FALSE,0,1,0,0,0,0,1,1,0,1,4
234,"Acalypha indica","L.",FALSE,1,0,0,1,1,0,1,1,0,0,5
235,"Acalypha insulana","M<fc>ll.Arg.",FALSE,0,1,1,0,0,0,1,1,0,1,5
236,"Acalypha integrifolia","Willd.",FALSE,0,0,0,0,0,0,0,1,0,0,1
237,"Acalypha lanceolata","Willd.",FALSE,0,0,0,0,1,0,0,1,0,0,2
238,"Acalypha langiana","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
239,"Acalypha leptomyura","Baill.",FALSE,0,0,0,0,0,0,1,0,0,0,1
240,"Acalypha longispica","Warb.",FALSE,1,0,1,0,0,0,0,0,0,0,2
241,"Acalypha macrostachya","Jacq.",FALSE,0,1,0,0,0,0,0,0,0,0,1
242,"Acalypha manniana","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
243,"Acalypha monostachya","Cav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
244,"Acalypha multicaulis","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
245,"Acalypha neptunica","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,1,1,0,0,2
246,"Acalypha nervulosa","Airy Shaw",FALSE,0,0,0,0,0,0,1,1,0,1,3
247,"Acalypha novoguineensis","Warb.",FALSE,0,0,0,0,0,0,0,1,0,0,1
248,"Acalypha ornata","Hochst. ex A.Rich.",FALSE,1,1,1,0,1,0,1,1,1,1,8
249,"Acalypha paniculata","Miq.",FALSE,0,1,0,0,1,0,0,1,0,0,3
250,"Acalypha peduncularis","Meisn. ex C.Krauss",FALSE,0,0,0,0,0,0,0,1,0,0,1
251,"Acalypha phleoides","Cav.",FALSE,0,0,0,0,0,0,0,1,0,0,1
252,"Acalypha platyphylla","M<fc>ll.Arg.",FALSE,0,0,0,0,0,0,0,1,0,0,1
253,"Acalypha poiretii","Spreng.",FALSE,0,0,0,0,0,0,0,1,0,0,1
254,"Acalypha psilostachya","Hochst. ex A.Rich.",FALSE,0,0,0,0,0,0,0,1,0,0,1
255,"Acalypha punctata","Meisn. ex C.Krauss",FALSE,0,0,0,0,0,0,0,1,0,0,1
256,"Acalypha radula","Baker",FALSE,0,0,0,0,0,0,0,1,0,0,1
257,"Acalypha segetalis","M<fc>ll.Arg.",FALSE,0,0,0,0,1,0,0,1,0,0,2
258,"Acalypha setosa","A.Rich.",FALSE,0,0,0,0,0,0,0,1,0,0,1
259,"Acalypha siamensis","Oliv. ex Gage",FALSE,0,1,0,0,1,0,0,1,0,1,4
260,"Acalypha spachiana","Baill.",FALSE,0,0,0,0,0,0,1,1,0,0,2
261,"Acalypha virginica","L.",FALSE,0,0,0,0,0,0,0,1,0,0,1
262,"Acalypha volkensii","Pax",FALSE,0,0,0,0,1,0,1,1,0,0,3
263,"Acalypha wilkesiana","M<fc>ll.Arg.",FALSE,0,1,0,0,1,0,0,1,1,0,4
264,"Acalypha wilmsii","Prain & Hutch.",FALSE,0,0,0,0,0,0,0,1,0,0,1
265,"Acampe ochracea","(Lindl.) Hochr.",FALSE,0,0,0,0,0,0,0,1,0,0,1
266,"Acampe pachyglossa","Rchb.f.",FALSE,0,1,0,0,0,0,0,1,0,0,2
267,"Acampe praemorsa","(Roxb.) Blatt. & McCann",FALSE,0,0,0,0,0,0,0,1,0,0,1
268,"Acamptopappus sphaerocephalus","A.Gray",FALSE,1,0,0,0,0,0,0,1,0,0,2
269,"Acanthocladus brasiliensis","(A.St.-Hil. & Moq.) Hassk.",FALSE,0,0,0,0,0,0,0,0,1,0,1
270,"Acanthocladus pulcherrimus","(Kuhlm.) J.F.B.Pastore & D.B.O.S.Cardoso",FALSE,0,0,0,0,0,0,1,0,0,0,1
271,"Acantholimon glumaceum","(Jaub. & Spach) Boiss.",FALSE,0,1,0,0,0,0,0,0,0,0,1
272,"Acantholimon lycopodioides","(Girard) Boiss.",FALSE,0,0,0,0,0,0,0,1,0,0,1
273,"Acantholimon venustum","Boiss.",FALSE,0,1,0,0,0,0,0,0,0,0,1
